Merchants of truth : the business of news and the fight for facts , Jill Abramson.,First Simon & Schuster hardcover edition.,2019,Press--United States--History--20th century.; Press--United States--History--21st century.
Permanent revolution : the Reformation and the illiberal roots of Liberalism , James Simpson.,,2019,Reformation--England.; Social change--England.; Social change--Religious aspects--Protestant churches; Literature and society--England--History--16th century.; Literature and society--England--History--17th century.; Religion and literature--England--History--16th century.; Religion and literature--England--History--17th century.; Literature and society.; Reformation; Religion and literature.; Social change.; England; 1500-1699; History.
Trump : the first two years , Michael Nelson.,,2019,"Trump, Donald,--1946-; United States--Politics and government--2017-; Politics and government.; United States; Since 2017"
heartbeat of Wounded Knee : native America from 1890 to the present , David Treuer.,,2019,Indians of North America--History--20th century; Indians of North America--Social conditions--20th century.; Indians of North America--History--20th century.; Indians of North America--History--21st century.; Indians of North America--Government relations.; HISTORY--Native American.; POLITICAL SCIENCE--Civil Rights.; SOCIAL SCIENCE--Ethnic Studies--Native American Studies.; Indians of North America--Social conditions; Indians of North America.; Indianer; Indiens d'Amérique--20e siècle.; Indiens d'Amérique--21e siècle.; Indiens d'Amérique--Conditions sociales.; University of South Alabama; NON - FICTION.; History.; Fiction; 1900-1999al
"Black leopard, red wolf ", Marlon James.,,2019,Missing children--Fiction.; Mercenary troops--Fiction.; Tracking and trailing--Fiction.; Shapeshifting--Fiction.; Leopard men--Fiction.; FICTION--Fantasy--Historical.; FICTION--African American--Historical.; FICTION--Fantasy--Epic.; FANTASY.; Fantasy fiction.
Lost children archive : a novel , Valeria Luiselli.,First edition.,2019,"Families--Fiction.; Immigrant children--United States--Social conditions--Fiction.; Illegal alien children--United States--Social conditions--Fiction.; Immigrant children--Legal status, laws, etc.--United States--Fiction.; Illegal alien children--Legal status, laws, etc.--United States--Fiction.; Emigration and immigration--Government policy; Families.; FICTION--Literary.; FICTION--Family Life.; FICTION / Family Life.; Illegal alien children--United States--Social conditions.; Illegal alien children--Legal status, laws, etc--United States.; Immigrant children--United States--Social conditions.; Immigrant children--Legal status, laws, etc--United States.; FICTION / Literary.; Family life.; United States--Emigration and immigration--Government policy--Fiction.; United States; United States--Emigration and immigration--Government policy.; Fiction.; Domestic fiction.; Road fiction."
We are displaced : my journey and stories from refugee girls around the world , Malala Yousafzai with Liz Welch.,First edition.,2019,Refugees--Juvenile literature.; Forced migration--Juvenile literature.; Emigration and immigration--Juvenile literature.; Emigration and immigration.; Women refugees.; Refugee children.; Refugee families.; YOUNG ADULT NONFICTION / Biography & Autobiography / Social Activists.; YOUNG ADULT NONFICTION / Biography & Autobiography / Women.; YOUNG ADULT NONFICTION / Family.; YOUNG ADULT NONFICTION / Girls & Women.; YOUNG ADULT NONFICTION / Social Topics / Civil & Human Rights.; YOUNG ADULT NONFICTION / Social Topics / Emigration & Immigration.; Refugees.; Forced migration.; Young adult literature.; Informational works.
world according to Fannie Davis : my mother's life in the Detroit numbers , Bridgett M. Davis.,First United States edition.,2019,"Davis, Bridgett M.--Family.; Davis, Fannie.; Davis, Bridgett M--Family.; BIOGRAPHY & AUTOBIOGRAPHY--Personal Memoirs.; BIOGRAPHY & AUTOBIOGRAPHY--Women.; HISTORY--African American.; African American women--Michigan--Detroit--Biography.; African American families--Michigan--Detroit--Biography.; Detroit (Mich.)--Biography.; Detroit (Mich)--Biography.; Biography.; Nonfiction."
Zucked : waking up to the Facebook catastrophe , Roger McNamee.,,2019,"Facebook (Electronic resource) Social aspects.; Online social networks--Political aspects--United States.; Disinformation--United States.; Propaganda--Technological innovations.; Zuckerberg, Mark,--1984---Influence.; United States--Politics and government."
Hard to love : essays and confessions , Briallen Hopper.,,2019,"Hopper, Briallen Elisabeth,--1978-; Love; Essays.; Friendship.; Interpersonal relations.; Love."
African Catholic : decolonization and the transformation of the Church , Elizabeth A. Foster.,,2019,"Catholic Church--Africa--History.; Catholic Church--History--1965-; Catholic Church.; Decolonization--Africa, French-speaking--History.; Decolonization--Africa, Sub-Saharan--History.; Christianity and culture--Africa, French-speaking--History.; Christianity and culture--Africa, Sub-Saharan--History.; Christianity and culture.; Decolonization.; Africa.; French-speaking Africa; Sub-Saharan Africa; Since 1965; History."
Prisoners of politics : breaking the cycle of mass incarceration , Rachel Elise Barkow.,,2019,"Criminal justice, Administration of--United States.; Criminal justice, Administration of--Planning--United States.; Criminal justice, Administration of.; Criminal justice, Administration of--Planning.; United States"
How to hide an empire : a history of the greater United States , Daniel Immerwahr.,First edition.,2019,United States--Territories and possessions--History.; United States--Colonial question.; United States; Territorial expansion.; HISTORY--United States--Colonial Period (1600-1775); History.
state strikes back : the end of economic reform in China? , Nicholas R. Lardy.,,2019,China--Economic policy--2000-; China--Economic conditions--2000-; China; Economic history.; Economic policy.; Since 2000
age of light : a novel , Whitney Scharer.,First edition.,2019,"Miller, Lee,--1907-1977--Fiction.; Man Ray,--1890-1976--Fiction.; Man Ray,--1890-1976.; Miller, Lee,--1907-1977.; World War (1939-1945); FICTION--Biographical.; FICTION--Historical--General.; FICTION--Historical--World War II.; Love stories. .; War photographers--Fiction.; Historical fiction. .; World War, 1939-1945--Fiction.; Biographical fiction. .; Models (Persons); War photographers.; Models (Persons)--Fiction.; 1939-1945; Fiction.; Historical fiction.; Romance fiction.; Biographical fiction.; Historical fiction"
fistful of shells : West Africa from the rise of the slave trade to the age of revolution , Toby Green.,,2019,"Africa, West--History--To 1884.; West Africa; To 1884; History."
Chief : the life and turbulent times of Chief Justice John Roberts , Joan Biskupic.,,2019,"United States.--Supreme Court--Officials and employees--Biography.; United States.--Supreme Court--History.; Roberts, John G.,--Jr.,--1955-; United States.--Supreme Court.; Judges--United States--Biography.; Employees.; Judges; United States; Biography.; History.; Biographies."
end of the myth : from the frontier to the border wall in the mind of America , Greg Grandin.,First edition.,2019,"Borderlands--United States.; Exceptionalism--United States.; Nationalism--United States--History--20th century.; Borderlands.; Exceptionalism.; Frontier thesis.; National characteristics, American.; Nationalism.; United States; United States.; Criticism, interpretation, etc.; History.; Turner, Frederick Jackson,--1861-1932--Criticism and interpretation.; Turner, Frederick Jackson,--1861-1932; 1900-1999"
Dying of whiteness : how the politics of racial resentment is killing America's heartland , Jonathan M. Metzl.,First edition.,2019,Medical policy--United States.; Public health--United States.; Racism--Political aspects--United States.; Whites--Health and hygiene--United States.; Whites--United States--Social conditions--21st century.; Health Status.; Healthcare Disparities.; Health Services Accessibility.; Socioeconomic Factors.; Politics.; Racism; Medical policy.; Public health; Race relations--Political aspects; United States--Race relations--Political aspects.; Missouri; Kansas; Missouri.; Tennessee; Kansas.; United States; Nonfiction.
"future is Asian : commerce, conflict, and culture in the 21st century ", Parag Khanna.,First Simon & Schuster hardcover edition.,2019,Asia--Economic conditions--21st century.; Asia--Social conditions--21st century.; Asia--Economic integration; Asia--Politics and government--21st century.; Economic development--Asia--21st century.; Economic forecasting--Asia.; BUSINESS & ECONOMICS / Economics / Comparative.; HISTORY / Asia / India & South Asia.; SOCIAL SCIENCE / Ethnic Studies / Asian American Studies.
"Maid : hard work, low pay, and a mother's will to survive ", Stephanie Land ; foreword by Barbara Ehrenreich.,First edition.,2019,"Land, Stephanie.; University of South Alabama; Poverty--United States; Poverty.; Single mothers.; Women household employees.; Working class.; BIOGRAPHY & AUTOBIOGRAPHY / Women.; SOCIAL SCIENCE / Poverty & Homelessness.; SOCIAL SCIENCE / Social Classes & Economic Disparity.; Single parents--Biography.; Working poor.; United States--Economic conditions.; American dream; Niedriglohn; Soziale Ungleichheit; Poverty--United States.; Women household employees--United States--Biography.; Working poor--United States.; Working class--United States--Biography.; Single mothers--United States--Biography.; United States; Biography.; Nonfiction.; Autobiographies."
Midnight in Chernobyl : the untold story of the world's greatest nuclear disaster , Adam Higginbotham.,First Simon & Schuster hardcover edition.,2019,"Chernobyl Nuclear Accident, Chornobyl_, Ukraine, 1986.; Nuclear power plants--Accidents--Ukraine--Chornobyl_.; HISTORY--Modern--20th Century.; HISTORY--Russia & the Former Soviet Union.; SCIENCE--Physics--Nuclear.; Nuclear power plants--Accidents.; Chernobyl Nuclear Accident, Chornobyl', Ukraine, 1986.; Nuclear power plants.; Ukraine--Chornobyl_; Chernobyl Nuclear Accident (Chornobyl_, Ukraine : 1986); Nonfiction.; 1986"
Gingerbread , Helen Oyeyemi.,,2019,"Mothers and daughters--Fiction.; Formulas, recipes, etc--Fiction.; Friendship--Fiction.; Family secrets--Fiction.; FICTION--Literary.; FICTION--Fairy Tales, Folk Tales, Legends & Mythology.; FICTION--General.; Fairy tales.; Fairy tales--Adaptations.; Fantasy.; Adaptations.; Fantasy fiction.; Magic realist fiction."
Long live the tribe of fatherless girls : a memoir , T Kira Madden.,,2019,"Madden, T Kira--Childhood and youth.; Women authors, American--Biography.; Racially mixed women--United States--Biography.; Lesbian authors--United States--Biography.; Adult children of drug addicts--United States--Biography.; Fathers and daughters--United States--Biography.; Women authors, American.; Racially mixed women.; Lesbian authors.; Fathers and daughters.; Adult children of drug addicts.; BIOGRAPHY & AUTOBIOGRAPHY / Personal Memoirs.; United States; Biography.; Nonfiction.; Autobiographies."
"Ill winds : saving democracy from Russian rage, Chinese ambition, and American complacency ", Larry Diamond.,,2019,Democracy; United States--Politics and government--2017-; United States--Foreign relations.
uninhabitable earth : a story of the future , David Wallace-Wells.,,2019,Nature--Effect of human beings on.; Global warming--Social aspects.; Global environmental change--Social aspects.; Environmental degradation--Social aspects.; Climatic changes--Social aspects.
